Page Visits	Submissions	Comments Received	Comments Given	Journals	Favs
1613	149	481	708	3	307
1507	6	308	453	21	50
122	0	12	1	0	0
1908	53	368	338	17	317
9788	30	861	937	25	1182
19492	97	2049	1990	48	2805
760	0	54	14	0	0
23	1	3	8	0	0
19665	135	7032	4410	209	5645	
2464	82	360	194	2	599
20872	0	1553	2229	1	558
118	0	5	0	0	0
15855	60	3474	4692	43	1091
16647	35	269	212	1	4633
4985	12	708	516	0	1385
5275	13	332	446	8	403
269	66	66	80	23	13	
19707	224	1308	231	22	13275
9661	111	371	321	14	2642
7449	35	585	343	1	883
9752	58	588	623	9	1042
2897	20	289	478	0	206
15549	34	468	95	0	3850
3966	80	343	519	6	587		
15174	108	2641	1635	26	5184
23845	48	1987	3153	0	4077
12573	316	1735	1300	23	1605
190	0	28	9	0	0
988	0	138	62	1	0
1737	33	310	464	23	13
485	0	23	11	0	0
2081	76	209	374	5	503
440	3	20	34	1	35
17528	26	132	5	0	2948
18909	152	1021	1165	8	2742
3428	78	1671	2801	40	278
67	0	26	91	0	0
1027	0	11	1	0	0
13350	376	2795	1418	14	9690
95	0	8	2	0	0
7904	1	2033	238	2	2
4025	63	387	501	10	1133
103	0	6	0	0	0
590	53	102	132	0	10
1121	3	262	480	6	0
32	0	0	0	0	0
252	0	40	9	0	0
1264	4	55	51	7	48
253	0	42	0	0	0
89	0	7	0	0	0
171	0	9	5	0	0
908	41	78	41	21	299
134	0	27	28	1	0
78	0	1	0	0	0
3015	0	411	673	1	0
464	0	29	60	0	0
5	0	0	0	0	0
3502	39	695	525	1	139
8848	202	25419	27096	2	978
10944	278	5245	9521	124	1004
171	0	11	5	0	0
193	0	17	3	0	0
2068	0	135	61	0	76
1076	0	218	19	1	0
5	0	0	0	0	0
146	0	17	2	0	0
545	0	126	0	0	0
3389	270	914	1685	19	320
5748	124	983	785	19	604
16	0	1	0	0	0
2	0	0	0	0	0
11676	167	4438	7635	139	2395
605	0	104	18	0	0
2206	6	287	146	1	62
427	0	16	0	0	0
25	0	4	0	0	0
606	0	27	0	0	0
938	6	150	1	0	3
1204	0	112	94	0	0
6193	3	1212	323	6	10
412	3	60	107	0	1
100	0	2	5	0	0
158	0	122	147	0	0
805	0	25	5	0	0
389	1	18	20	0	8
2329	0	64	76	0	0
42	0	0	0	0	0
11	0	0	0	0	0
33	0	0	0	0	0
5103	121	1463	1068	31	589
31947	64	784	91	7	10073
38132	0	4820	112	1	830
2466	0	782	1100	2	422
13603	8	1268	1490	46	81
21471	64	1918	1879	39	3415
26916	367	2296	2820	32	9620
2596	1	105	131	0	329
29553	22	1579	211	11	265
37	0	1	0	0	0
865	78	115	111	0	175
